#GeneSignatureID	Rank	FeatureID	FeatureDescription	FeatureAnnotations	FeatureDatabase	AUC	NES	CandidateTargetIDs	TopTargetIDs	TopTargetRanks
Project2	1	ENCFF001UPL	MAX ChIP-seq protocol v042211.1 on human SK-N-SH		TF binding sites	0.08148311215	4.178239948	chr17-reg2695;chr19-reg44926;chr19-reg45045;chr15-reg42951;chr17-reg36607	chr17-reg2695;chr19-reg44926;chr19-reg45045;chr15-reg42951;chr17-reg36607;chr17-reg44032;chr19-reg16189	235;394;1182;1800;2221;4954;16653
Project2	2	ENCFF001TTL	SIN3A ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%		TF binding sites	0.08120636518	4.16112061	chr15-reg42951;chr19-reg44926;chr17-reg36607;chr19-reg43563;chr19-reg45045;chr17-reg2695;chr17-reg44032	chr15-reg42951;chr19-reg44926;chr17-reg36607;chr19-reg43563;chr19-reg45045;chr17-reg2695;chr17-reg44032;chr16-reg50597	450;624;2020;2415;2481;3453;5547;11863
Project2	3	ENCFF001USG	MYC ChIP-seq on human GM12878		TF binding sites	0.08033209636	4.107039063	chr11-reg10310;chr17-reg36607;chr19-reg44926;chr17-reg2695	chr11-reg10310;chr17-reg36607;chr19-reg44926;chr17-reg2695;chr19-reg45045;chr17-reg44032	198;389;835;1218;3229;5283
Project2	4	ENCFF001TSY	MAX ChIP-seq protocol v042211.1 on human A549		TF binding sites	0.07996100384	4.084083586	chr17-reg2695;chr19-reg45045;chr19-reg44926;chr15-reg42951;chr17-reg36607;chr11-reg10310	chr17-reg2695;chr19-reg45045;chr19-reg44926;chr15-reg42951;chr17-reg36607;chr11-reg10310;chr17-reg44032;chr10-reg44316	635;880;1443;1502;3263;3547;6847;19694
Project2	5	ENCFF001TTM	SIN3A ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%		TF binding sites	0.0782250456	3.976698644	chr15-reg42951;chr17-reg36607;chr19-reg45045;chr19-reg44926;chr19-reg43563	chr15-reg42951;chr17-reg36607;chr19-reg45045;chr19-reg44926;chr19-reg43563;chr17-reg2695;chr17-reg44032	628;639;1209;1212;2018;6324;6715
Project2	6	ENCFF001UAB	POU2F2 ChIP-seq protocol PCR1x on human GM12891		TF binding sites	0.07555506636	3.811535934	chr13-reg20314;chr19-reg44926;chr17-reg36607;chr10-reg77710;chr14-reg24719;chr19-reg43563;chr18-reg14106	chr13-reg20314;chr19-reg44926;chr17-reg36607;chr10-reg77710;chr14-reg24719;chr19-reg43563;chr18-reg14106	400;586;1629;1877;3449;4730;7087
Project2	7	ENCFF001TSX	MAX ChIP-seq protocol v042211.1 on human A549		TF binding sites	0.0741273036	3.72321571	chr19-reg45045;chr17-reg2695;chr15-reg42951;chr15-reg42952;chr19-reg44926;chr11-reg10310;chr17-reg36607;chr17-reg44032	chr19-reg45045;chr17-reg2695;chr15-reg42951;chr15-reg42952;chr19-reg44926;chr11-reg10310;chr17-reg36607;chr17-reg44032;chr16-reg50597	157;1646;1785;1786;3842;3909;8122;8545;18790
Project2	8	ENCFF001TYM	POU2F2 ChIP-seq protocol PCR1x on human GM12878		TF binding sites	0.07313038556	3.661547184	chr10-reg77710;chr19-reg44926;chr14-reg24719;chr13-reg20314;chr19-reg43563;chr17-reg36607	chr10-reg77710;chr19-reg44926;chr14-reg24719;chr13-reg20314;chr19-reg43563;chr17-reg36607;chr10-reg28241;chr19-reg16189	671;716;2312;2612;3432;3699;12130;15144
Project2	9	GSM1208654_batch1_chrom1_LoVo_MYC_PassedQC_peaks_hg19	MYC ChIP-seq in LoVo		TF binding sites	0.07203912196	3.594042519	chr15-reg42951;chr15-reg42952;chr17-reg36607;chr19-reg44926	chr15-reg42951;chr15-reg42952;chr17-reg36607;chr19-reg44926;chr19-reg45045;chr11-reg10310	106;107;601;743;6987;14663
Project2	10	ENCFF001UND	MAX ChIP-seq protocol v042211.1 on human MCF-7		TF binding sites	0.06697276558	3.2806419	chr17-reg2695;chr15-reg42951;chr19-reg44926;chr19-reg45045;chr17-reg36607	chr17-reg2695;chr15-reg42951;chr19-reg44926;chr19-reg45045;chr17-reg36607;chr17-reg44032;chr11-reg10310;chr10-reg44316	718;1302;1612;2716;2936;6842;17637;19912
Project2	11	ENCFF001TRY	E2F6 ChIP-seq protocol v042211.1 on human A549		TF binding sites	0.06639096799	3.244652382	chr19-reg45045;chr19-reg44926;chr17-reg2695;chr11-reg10310;chr17-reg44032;chr10-reg44316	chr19-reg45045;chr19-reg44926;chr17-reg2695;chr11-reg10310;chr17-reg44032;chr10-reg44316;chr10-reg77729	23;131;1976;2935;4404;6757;19048
Project2	12	GSM1208771_batch2_chrom1_LoVo_MNT_PassedQC_peaks_hg19	MNT ChIP-seq in LoVo		TF binding sites	0.06473992075	3.142519964	chr17-reg44032;chr19-reg44926;chr15-reg42951;chr15-reg42952	chr17-reg44032;chr19-reg44926;chr15-reg42951;chr15-reg42952;chr17-reg36607;chr11-reg10310;chr19-reg45045;chr17-reg2695;chr16-reg50597	425;952;1250;1251;7191;8155;11050;17974;19579
Project2	13	ENCFF001UTL	MYC ChIP-seq on human MCF-7 treated with serum stimulated media		TF binding sites	0.06440656645	3.121898942	chr17-reg2695;chr19-reg44926;chr11-reg10310;chr17-reg36607;chr19-reg16189	chr17-reg2695;chr19-reg44926;chr11-reg10310;chr17-reg36607;chr19-reg16189;chr19-reg45045;chr10-reg44316	253;366;2018;3638;3825;10572;16011
Project2	14	GSM1208767_batch2_chrom1_LoVo_LYL1_PassedQC_peaks_hg19	LYL1 ChIP-seq in LoVo		TF binding sites	0.06434366941	3.118008184	chr19-reg44926;chr17-reg44032;chr15-reg42951;chr17-reg36607;chr11-reg10310	chr19-reg44926;chr17-reg44032;chr15-reg42951;chr17-reg36607;chr11-reg10310;chr19-reg45045;chr17-reg2695	901;1225;1896;2971;3127;11857;16841
Project2	15	ENCFF001UPM	MAX ChIP-seq protocol v042211.1 on human SK-N-SH		TF binding sites	0.06276495377	3.020350139	chr19-reg45045;chr19-reg44926;chr17-reg36607;chr17-reg44032;chr17-reg2695	chr19-reg45045;chr19-reg44926;chr17-reg36607;chr17-reg44032;chr17-reg2695;chr10-reg3823;chr18-reg14106;chr19-reg16189	335;565;2201;3577;3944;12459;16197;18367
Project2	16	ENCFF001VHL	ELK4 ChIP-seq on human HEK293		TF binding sites	0.06268947733	3.015681228	chr19-reg16189;chr17-reg2695;chr17-reg36607;chr19-reg45045	chr19-reg16189;chr17-reg2695;chr17-reg36607;chr19-reg45045;chr10-reg77729	128;192;2023;2187;15749
Project2	17	ENCFF001UTN	MYC ChIP-seq on human MCF-7 treated with vehicle		TF binding sites	0.06133404617	2.931835377			
Project2	18	ENCFF001TSA	ELF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%		TF binding sites	0.06028681049	2.867054243			
Project2	19	ENCFF001TYE	PML ChIP-seq protocol v042211.1 on human GM12878		TF binding sites	0.06010126423	2.855576505			
Project2	20	ENCFF001USW	POLR2A ChIP-seq on human HeLa-S3		TF binding sites	0.05977734449	2.835539097			
Project2	21	ENCFF001UFQ	ELF1 ChIP-seq protocol v041610.1 on human HepG2		TF binding sites	0.059638971	2.826979428			
Project2	22	ENCFF001UNE	MAX ChIP-seq protocol v042211.1 on human MCF-7		TF binding sites	0.05906346311	2.791378985			
Project2	23	GSM1208627_batch1_chrom1_LoVo_HBP1_PassedQC_peaks_hg19	HBP1 ChIP-seq in LoVo		TF binding sites	0.05833700233	2.746440721			
Project2	24	ENCFF001TRR	CREB1 ChIP-seq (protocol v041610.2) on A549 treated with dexamethasone at 100nM		TF binding sites	0.05776778414	2.711229354			
Project2	25	GSM1208593_batch1_chrom1_LoVo_BARX2_PassedQC_peaks_hg19	BARX2 ChIP-seq in LoVo		TF binding sites	0.05708535128	2.669014622			
Project2	26	ENCFF001VII	ELK4 ChIP-seq on human HeLa-S3		TF binding sites	0.0569532675	2.660844028			
Project2	27	ENCFF001UAA	POU2F2 ChIP-seq protocol PCR1x on human GM12891		TF binding sites	0.05678659035	2.650533518			
Project2	28	ENCFF001TWW	ELF1 ChIP-seq protocol v041610.1 on human GM12878		TF binding sites	0.05676772124	2.64936629			
Project2	29	ENCFF001TZE	STAT5A ChIP-seq protocol v042211.1 on human GM12878		TF binding sites	0.05593119064	2.597619198			
Project2	30	ENCFF001UFR	ELF1 ChIP-seq protocol v041610.1 on human HepG2		TF binding sites	0.05571419586	2.584196081			
Project2	31	ENCFF001USZ	MYC ChIP-seq on human HUVEC		TF binding sites	0.05555380842	2.574274646			
Project2	32	ENCFF001TUC	USF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%		TF binding sites	0.05533366878	2.56065699			
Project2	33	ENCFF001UTK	MYC ChIP-seq on human MCF-7 treated with estrogen		TF binding sites	0.05516699163	2.550346479			
Project2	34	ENCFF001UGM	MAX ChIP-seq protocol v042211.1 on human HepG2		TF binding sites	0.05479904397	2.52758554			
Project2	35	ENCFF001TZY	POLR2A ChIP-seq protocol PCR1x on human GM12891		TF binding sites	0.05444682055	2.505797291			
Project2	36	ENCFF001VHA	NRF1 ChIP-seq on human H1-hESC		TF binding sites	0.05428643311	2.495875856			
Project2	37	ENCFF001TRX	E2F6 ChIP-seq protocol v042211.1 on human A549		TF binding sites	0.05406000377	2.481869125			
Project2	38	ENCFF001TUG	ZBTB33 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%		TF binding sites	0.05322661803	2.430316571			
Project2	39	ENCFF001USX	MYC ChIP-seq on human HepG2		TF binding sites	0.0531763004	2.427203964			
